Algorithm_Name,Input_Dimensions,Execution_Time(ms),Winning
Naive_GPU,1040,3.720352,3
naive_matrix_cpu,1040,3402.102051,3
Strassen_Matrix_Multiplication_CPU,1040,61531.00391,3
Strassen_Matrix_Multiplication_GPU,1040,4.670159,3
Tiled_Matrix_Multiplication_GPU,1040,3.308,3
Naive_GPU,1072,4.082086,3
naive_matrix_cpu,1072,4084.172119,3
Strassen_Matrix_Multiplication_CPU,1072,48881.53516,3
Strassen_Matrix_Multiplication_GPU,1072,4.876349,3
Tiled_Matrix_Multiplication_GPU,1072,3.7496,3
Naive_GPU,1104,3.118656,1
naive_matrix_cpu,1104,4303.333008,1
Strassen_Matrix_Multiplication_CPU,1104,49046.36328,1
Strassen_Matrix_Multiplication_GPU,1104,5.102791,1
Tiled_Matrix_Multiplication_GPU,1104,4.265606,1
Naive_GPU,1136,3.50279,1
naive_matrix_cpu,1136,4550.248047,1
Strassen_Matrix_Multiplication_CPU,1136,48896.6875,1
Strassen_Matrix_Multiplication_GPU,1136,6.594719,1
Tiled_Matrix_Multiplication_GPU,1136,4.202534,1
Naive_GPU,1168,3.52336,1
naive_matrix_cpu,1168,5023.937988,1
Strassen_Matrix_Multiplication_CPU,1168,49048.69922,1
Strassen_Matrix_Multiplication_GPU,1168,4.661707,1
Tiled_Matrix_Multiplication_GPU,1168,3.829766,1
Naive_GPU,1200,4.312192,3
naive_matrix_cpu,1200,5445.367188,3
Strassen_Matrix_Multiplication_CPU,1200,49944.10156,3
Strassen_Matrix_Multiplication_GPU,1200,5.584182,3
Tiled_Matrix_Multiplication_GPU,1200,3.650355,3
Naive_GPU,1232,3.767667,3
naive_matrix_cpu,1232,6046.001953,3
Strassen_Matrix_Multiplication_CPU,1232,48621.68359,3
Strassen_Matrix_Multiplication_GPU,1232,5.51574,3
Tiled_Matrix_Multiplication_GPU,1232,3.22608,3
Naive_GPU,1264,4.66519,3
naive_matrix_cpu,1264,7165.099121,3
Strassen_Matrix_Multiplication_CPU,1264,48894.10938,3
Strassen_Matrix_Multiplication_GPU,1264,5.548967,3
Tiled_Matrix_Multiplication_GPU,1264,3.12528,3
Naive_GPU,1296,3.832109,3
naive_matrix_cpu,1296,7749.996094,3
Strassen_Matrix_Multiplication_CPU,1296,48688.85156,3
Strassen_Matrix_Multiplication_GPU,1296,6.78273,3
Tiled_Matrix_Multiplication_GPU,1296,3.394982,3
Naive_GPU,1328,4.033837,3
naive_matrix_cpu,1328,9358.897461,3
Strassen_Matrix_Multiplication_CPU,1328,49265.64844,3
Strassen_Matrix_Multiplication_GPU,1328,5.646705,3
Tiled_Matrix_Multiplication_GPU,1328,3.328806,3
Naive_GPU,1360,4.086867,3
naive_matrix_cpu,1360,8645.294922,3
Strassen_Matrix_Multiplication_CPU,1360,49748.11719,3
Strassen_Matrix_Multiplication_GPU,1360,8.182271,3
Tiled_Matrix_Multiplication_GPU,1360,3.191738,3
Naive_GPU,1392,4.165178,3
naive_matrix_cpu,1392,800000,3
Strassen_Matrix_Multiplication_CPU,1392,49063.10938,3
Strassen_Matrix_Multiplication_GPU,1392,6.917347,3
Tiled_Matrix_Multiplication_GPU,1392,4.062272,3
Naive_GPU,1424,3.992109,3
naive_matrix_cpu,1424,800000,3
Strassen_Matrix_Multiplication_CPU,1424,48767.17188,3
Strassen_Matrix_Multiplication_GPU,1424,9.039997,3
Tiled_Matrix_Multiplication_GPU,1424,3.727219,3
Naive_GPU,1456,4.575667,3
naive_matrix_cpu,1456,800000,3
Strassen_Matrix_Multiplication_CPU,1456,49177.55078,3
